analysis,scenario_id,scenario_description,parameter_label,use_global_template,finalization_mode,target_d,method,variable,station_id,zone,mae,rmse,smape,hit10,total_relative_error,share_l1
05_feasibility_correction,raw_continuous,"Use raw continuous predictions without nonnegative, integer or cap correction.","lambda=(0.60,0.20,0.20);theta=0.70;w=[0.30,0.80]",True,raw_continuous,7,raw_continuous,borrow,ALL,ALL,1.6825023634967977,2.1792725258327423,0.6166105266620452,0.25555555555555554,0.011189885126103909,0.22786951303961223
05_feasibility_correction,raw_continuous,"Use raw continuous predictions without nonnegative, integer or cap correction.","lambda=(0.60,0.20,0.20);theta=0.70;w=[0.30,0.80]",True,raw_continuous,7,raw_continuous,return,ALL,ALL,1.8769273291197686,2.5146933116606185,0.6571511838102084,0.2125,0.028745179298438502,0.2510722509184012
05_feasibility_correction,raw_continuous,"Use raw continuous predictions without nonnegative, integer or cap correction.","lambda=(0.60,0.20,0.20);theta=0.70;w=[0.30,0.80]",True,raw_continuous,7,raw_continuous,combined,ALL,ALL,1.779714846308283,2.3529674024048943,0.6368808552361268,0.23402777777777778,0.009008356552652811,0.23939061526351443
05_feasibility_correction,nonnegative_continuous,Only force nonnegativity; keep continuous values.,"lambda=(0.60,0.20,0.20);theta=0.70;w=[0.30,0.80]",True,nonnegative_continuous,7,nonnegative_continuous,borrow,ALL,ALL,1.6825023634967977,2.1792725258327423,0.6166105266620452,0.25555555555555554,0.011189885126103909,0.22786951303961223
05_feasibility_correction,nonnegative_continuous,Only force nonnegativity; keep continuous values.,"lambda=(0.60,0.20,0.20);theta=0.70;w=[0.30,0.80]",True,nonnegative_continuous,7,nonnegative_continuous,return,ALL,ALL,1.8769273291197686,2.5146933116606185,0.6571511838102084,0.2125,0.028745179298438502,0.2510722509184012
05_feasibility_correction,nonnegative_continuous,Only force nonnegativity; keep continuous values.,"lambda=(0.60,0.20,0.20);theta=0.70;w=[0.30,0.80]",True,nonnegative_continuous,7,nonnegative_continuous,combined,ALL,ALL,1.779714846308283,2.3529674024048943,0.6368808552361268,0.23402777777777778,0.009008356552652811,0.23939061526351443
05_feasibility_correction,round_only,"Force nonnegative integer predictions, but do not apply historical upper bounds.","lambda=(0.60,0.20,0.20);theta=0.70;w=[0.30,0.80]",True,round_only,7,round_only,borrow,ALL,ALL,1.6652777777777779,2.190573238015819,0.47742115754643066,0.3375,0.008107088989441931,0.22677903144684958
05_feasibility_correction,round_only,"Force nonnegative integer predictions, but do not apply historical upper bounds.","lambda=(0.60,0.20,0.20);theta=0.70;w=[0.30,0.80]",True,round_only,7,round_only,return,ALL,ALL,1.8819444444444444,2.548147475236776,0.4739273991972873,0.30972222222222223,0.0289240972733972,0.2548061604863139
05_feasibility_correction,round_only,"Force nonnegative integer predictions, but do not apply historical upper bounds.","lambda=(0.60,0.20,0.20);theta=0.70;w=[0.30,0.80]",True,round_only,7,round_only,combined,ALL,ALL,1.773611111111111,2.376096238230542,0.475674278371859,0.3236111111111111,0.010622437569884458,0.24042889636632062
05_feasibility_correction,base_model,Basic model: nonnegative integer predictions plus historical mild upper cap.,"lambda=(0.60,0.20,0.20);theta=0.70;w=[0.30,0.80]",True,cap,7,base_model,borrow,ALL,ALL,1.6652777777777779,2.190573238015819,0.47742115754643066,0.3375,0.008107088989441931,0.22677903144684958
05_feasibility_correction,base_model,Basic model: nonnegative integer predictions plus historical mild upper cap.,"lambda=(0.60,0.20,0.20);theta=0.70;w=[0.30,0.80]",True,cap,7,base_model,return,ALL,ALL,1.8819444444444444,2.548147475236776,0.4739273991972873,0.30972222222222223,0.0289240972733972,0.2548061604863139
05_feasibility_correction,base_model,Basic model: nonnegative integer predictions plus historical mild upper cap.,"lambda=(0.60,0.20,0.20);theta=0.70;w=[0.30,0.80]",True,cap,7,base_model,combined,ALL,ALL,1.773611111111111,2.376096238230542,0.475674278371859,0.3236111111111111,0.010622437569884458,0.24042889636632062
