analysis,scenario_id,scenario_description,parameter_label,use_global_template,finalization_mode,target_d,station_id,zone,method,stock_mae,empty_hours_pred,empty_hours_actual,full_hours_pred,full_hours_actual,empty_hour_diff,full_hour_diff,risk_diff
03_zone_shrinkage,theta_0_0_global_only,Use only the global template inside the shrinkage part.,"lambda=(0.60,0.20,0.20);theta=0.00;w=[0.30,0.80]",True,cap,7,S001,Educational (文教科研区),theta_0_0_global_only,4.791666666666667,0,0,0,0,0,0,0
03_zone_shrinkage,theta_0_0_global_only,Use only the global template inside the shrinkage part.,"lambda=(0.60,0.20,0.20);theta=0.00;w=[0.30,0.80]",True,cap,7,S002,Educational (文教科研区),theta_0_0_global_only,6.375,5,2,0,0,3,0,3
03_zone_shrinkage,theta_0_0_global_only,Use only the global template inside the shrinkage part.,"lambda=(0.60,0.20,0.20);theta=0.00;w=[0.30,0.80]",True,cap,7,S003,Educational (文教科研区),theta_0_0_global_only,6.25,7,3,0,0,4,0,4
03_zone_shrinkage,theta_0_0_global_only,Use only the global template inside the shrinkage part.,"lambda=(0.60,0.20,0.20);theta=0.00;w=[0.30,0.80]",True,cap,7,S004,Educational (文教科研区),theta_0_0_global_only,7.041666666666667,0,7,1,0,7,1,8
03_zone_shrinkage,theta_0_0_global_only,Use only the global template inside the shrinkage part.,"lambda=(0.60,0.20,0.20);theta=0.00;w=[0.30,0.80]",True,cap,7,S005,Educational (文教科研区),theta_0_0_global_only,5.916666666666667,0,0,0,0,0,0,0
03_zone_shrinkage,theta_0_0_global_only,Use only the global template inside the shrinkage part.,"lambda=(0.60,0.20,0.20);theta=0.00;w=[0.30,0.80]",True,cap,7,S006,Educational (文教科研区),theta_0_0_global_only,4.666666666666667,0,0,0,1,0,1,1
03_zone_shrinkage,theta_0_0_global_only,Use only the global template inside the shrinkage part.,"lambda=(0.60,0.20,0.20);theta=0.00;w=[0.30,0.80]",True,cap,7,S007,Educational (文教科研区),theta_0_0_global_only,2.375,2,1,0,0,1,0,1
03_zone_shrinkage,theta_0_0_global_only,Use only the global template inside the shrinkage part.,"lambda=(0.60,0.20,0.20);theta=0.00;w=[0.30,0.80]",True,cap,7,S008,Educational (文教科研区),theta_0_0_global_only,5.375,0,0,0,6,0,6,6
03_zone_shrinkage,theta_0_0_global_only,Use only the global template inside the shrinkage part.,"lambda=(0.60,0.20,0.20);theta=0.00;w=[0.30,0.80]",True,cap,7,S009,Commercial/Transit (商业与交通枢纽区),theta_0_0_global_only,7.625,0,0,0,2,0,2,2
03_zone_shrinkage,theta_0_0_global_only,Use only the global template inside the shrinkage part.,"lambda=(0.60,0.20,0.20);theta=0.00;w=[0.30,0.80]",True,cap,7,S010,Recreational/Public (休闲与公共设施区),theta_0_0_global_only,2.9166666666666665,0,0,0,0,0,0,0
03_zone_shrinkage,theta_0_0_global_only,Use only the global template inside the shrinkage part.,"lambda=(0.60,0.20,0.20);theta=0.00;w=[0.30,0.80]",True,cap,7,S011,Recreational/Public (休闲与公共设施区),theta_0_0_global_only,4.5,0,0,4,4,0,0,0
03_zone_shrinkage,theta_0_0_global_only,Use only the global template inside the shrinkage part.,"lambda=(0.60,0.20,0.20);theta=0.00;w=[0.30,0.80]",True,cap,7,S012,Commercial/Transit (商业与交通枢纽区),theta_0_0_global_only,3.5416666666666665,0,0,0,0,0,0,0
03_zone_shrinkage,theta_0_0_global_only,Use only the global template inside the shrinkage part.,"lambda=(0.60,0.20,0.20);theta=0.00;w=[0.30,0.80]",True,cap,7,S013,Commercial/Transit (商业与交通枢纽区),theta_0_0_global_only,7.75,0,0,8,0,0,8,8
03_zone_shrinkage,theta_0_0_global_only,Use only the global template inside the shrinkage part.,"lambda=(0.60,0.20,0.20);theta=0.00;w=[0.30,0.80]",True,cap,7,S014,Recreational/Public (休闲与公共设施区),theta_0_0_global_only,13.208333333333334,1,0,0,0,1,0,1
03_zone_shrinkage,theta_0_0_global_only,Use only the global template inside the shrinkage part.,"lambda=(0.60,0.20,0.20);theta=0.00;w=[0.30,0.80]",True,cap,7,S015,Recreational/Public (休闲与公共设施区),theta_0_0_global_only,3.0833333333333335,0,0,1,4,0,3,3
03_zone_shrinkage,theta_0_0_global_only,Use only the global template inside the shrinkage part.,"lambda=(0.60,0.20,0.20);theta=0.00;w=[0.30,0.80]",True,cap,7,S016,Commercial/Transit (商业与交通枢纽区),theta_0_0_global_only,8.625,0,0,0,0,0,0,0
03_zone_shrinkage,theta_0_0_global_only,Use only the global template inside the shrinkage part.,"lambda=(0.60,0.20,0.20);theta=0.00;w=[0.30,0.80]",True,cap,7,S017,Recreational/Public (休闲与公共设施区),theta_0_0_global_only,6.708333333333333,0,0,0,6,0,6,6
03_zone_shrinkage,theta_0_0_global_only,Use only the global template inside the shrinkage part.,"lambda=(0.60,0.20,0.20);theta=0.00;w=[0.30,0.80]",True,cap,7,S018,Recreational/Public (休闲与公共设施区),theta_0_0_global_only,8.625,0,0,0,0,0,0,0
03_zone_shrinkage,theta_0_0_global_only,Use only the global template inside the shrinkage part.,"lambda=(0.60,0.20,0.20);theta=0.00;w=[0.30,0.80]",True,cap,7,S019,Recreational/Public (休闲与公共设施区),theta_0_0_global_only,15.083333333333334,0,1,0,0,1,0,1
03_zone_shrinkage,theta_0_0_global_only,Use only the global template inside the shrinkage part.,"lambda=(0.60,0.20,0.20);theta=0.00;w=[0.30,0.80]",True,cap,7,S020,Recreational/Public (休闲与公共设施区),theta_0_0_global_only,4.708333333333333,14,3,0,0,11,0,11
03_zone_shrinkage,theta_0_0_global_only,Use only the global template inside the shrinkage part.,"lambda=(0.60,0.20,0.20);theta=0.00;w=[0.30,0.80]",True,cap,7,S021,Commercial/Transit (商业与交通枢纽区),theta_0_0_global_only,2.875,0,0,0,0,0,0,0
03_zone_shrinkage,theta_0_0_global_only,Use only the global template inside the shrinkage part.,"lambda=(0.60,0.20,0.20);theta=0.00;w=[0.30,0.80]",True,cap,7,S022,Recreational/Public (休闲与公共设施区),theta_0_0_global_only,6.625,4,0,0,0,4,0,4
03_zone_shrinkage,theta_0_0_global_only,Use only the global template inside the shrinkage part.,"lambda=(0.60,0.20,0.20);theta=0.00;w=[0.30,0.80]",True,cap,7,S023,Recreational/Public (休闲与公共设施区),theta_0_0_global_only,4.291666666666667,0,2,0,0,2,0,2
03_zone_shrinkage,theta_0_0_global_only,Use only the global template inside the shrinkage part.,"lambda=(0.60,0.20,0.20);theta=0.00;w=[0.30,0.80]",True,cap,7,S024,Commercial/Transit (商业与交通枢纽区),theta_0_0_global_only,5.125,1,0,0,0,1,0,1
03_zone_shrinkage,theta_0_0_global_only,Use only the global template inside the shrinkage part.,"lambda=(0.60,0.20,0.20);theta=0.00;w=[0.30,0.80]",True,cap,7,S025,Recreational/Public (休闲与公共设施区),theta_0_0_global_only,15.75,0,0,0,2,0,2,2
03_zone_shrinkage,theta_0_0_global_only,Use only the global template inside the shrinkage part.,"lambda=(0.60,0.20,0.20);theta=0.00;w=[0.30,0.80]",True,cap,7,S026,Recreational/Public (休闲与公共设施区),theta_0_0_global_only,5.416666666666667,0,0,0,0,0,0,0
03_zone_shrinkage,theta_0_0_global_only,Use only the global template inside the shrinkage part.,"lambda=(0.60,0.20,0.20);theta=0.00;w=[0.30,0.80]",True,cap,7,S027,Recreational/Public (休闲与公共设施区),theta_0_0_global_only,4.041666666666667,2,3,0,0,1,0,1
03_zone_shrinkage,theta_0_0_global_only,Use only the global template inside the shrinkage part.,"lambda=(0.60,0.20,0.20);theta=0.00;w=[0.30,0.80]",True,cap,7,S028,Recreational/Public (休闲与公共设施区),theta_0_0_global_only,4.916666666666667,0,4,0,0,4,0,4
